A Digital Hardware Implementation for A new Mixed-Order Nonlinear 3-D Chaotic System,Elsafty A.H. ,"Nile University, Nanoelectronics Integrated Systems Center (NISC), Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
A Hybrid Machine Learning Approach for the Phenotypic Classification of Metagenomic Colon Cancer Reads Based on Kmer Frequency and Biomarker Profiling, El-Hadidi M. ,"Center for Informatics Sciences, Nile University, Giza,",57062645000,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57062645000&zone=,"El-Hadidi, Mohamed","El-Hadidi, Mohamed ; El-Hadidi, M."
A minimum-delay cross-layer transmission policy for cognitive multi-access networks with imperfect sensing,Saleh G. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",55614779700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55614779700&zone=,"Saleh, Ghada","Saleh, Ghada"
A Neuro-Fuzzy Based Approach for Energy Consumption and Profit Operation Forecasting, Ortiz N.R. ,"School of Engineering and Applied Science, Nile University, Giza,",57211991849,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57211991849&zone=,"Ortiz, Nicolas Ramirez","Ortiz, Nicolas Ramirez"
A novel high throughput high resolution two-stage oscillator-based TDC, Guindi R. ,"Dept. of Microelectronics System Design, Nile University Nile University, Cairo-Alex Desert Rd, Giza 12677,",8278635600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8278635600&zone=,"Guindi, Rafik S.","Guindi, Rafik S. ; Guindi, Rafik ; Guindi, R. ; Guindi, R. S."
A universal floating fractional-order elements/memelements emulator, Said L.A. ,"Nile University, Nanoelectronics Integrated Systems Center (NISC), Giza,",36740094700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36740094700&zone=,"Said, Lobna A.","Said, Lobna A. ; Said, Lobna A. ; Said, L. A. ; Said, Lobna"
Biomedical image encryption based on double-humped and fractional logistic maps, Radwan A.G. ,"NISC Research Center, Nile University, Cairo,",7103379659,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7103379659&zone=,"Radwan, Ahmed","Radwan, Ahmed ; Radwan, Ahmed G. ; Radwan, Ahmed Gomaa ; Radwan, A. G. ; Radwan, A. ; Ahmed, A. G. ; Radwan, Ahmad G."
Cad tool for two-digit ternary functions design, Said L.A. ,"Nile University, Nanoelectronics Integrated Systems Center, Cairo,",36740094700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36740094700&zone=,"Said, Lobna A.","Said, Lobna A. ; Said, Lobna A. ; Said, L. A. ; Said, Lobna"
"Cloud computing privacy issues, challenges and solutions", Azer M.A. ,"National Telecommunications Institute, Nile University, Cairo,",24476232400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=24476232400&zone=,"Azer, Marianne Amir","Azer, Marianne Amir ; Azer, Mariannne A. ; Azer, M. A. ; Azer, Marianne A. ; Azer, Marianne ; Azer, M."
Cole bio-impedance model variations in daucus carota sativus under heating and freezing conditions, Elwakil A.S. ,"Nanoelectronics Integrated Systems Center, Nile University, Giza, 12588,",7003287524,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7003287524&zone=,"Elwakil, Ahmed S.","Elwakil, Ahmed S. ; Elwakil, Ahmad ; Elwakil, A. S. ; Elwakil, Ahmed S. ; Ahmed, S. Elwakil ; Elwakil, A. ; Elwakil, Ahmed"
Cole-Cole Bio-Impedance Parameters Extraction from a Single Time-Domain Measurement, Radwan A.G. ,"School of Engineering and Applied Sciences, Nile University, Giza, 12588,",7103379659,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7103379659&zone=,"Radwan, Ahmed","Radwan, Ahmed ; Radwan, Ahmed G. ; Radwan, Ahmed Gomaa ; Radwan, A. G. ; Radwan, A. ; Ahmed, A. G. ; Radwan, Ahmad G."
Degrees of freedom for a two-cell relay network with soft handoffs, Nafie M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",6701337161,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=6701337161&zone=,"Nafie, Mohammed H.","Nafie, Mohammed H. ; Nafie, Moh ; Nafie, Mohamed ; Nafie, Mohamed H. ; Nafïe, M. ; Nafie, M. ; Nafie, Mohammed ; Nafie, Mohammed H."
Energy-efficient cooperative relaying protocol for full-duplex cognitive radio users and delay-aware primary users,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Enhanced FPGA realization of the fractional-order derivative and application to a variable-order chaotic system, Radwan A.G. ,"NISC Research Center, Nile University, Cairo, 12588,",7103379659,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7103379659&zone=,"Radwan, Ahmed","Radwan, Ahmed ; Radwan, Ahmed G. ; Radwan, Ahmed Gomaa ; Radwan, A. G. ; Radwan, A. ; Ahmed, A. G. ; Radwan, Ahmad G."
Enhanced Fractional Order Indirect Fuzzy Adaptive Synchronization of Uncertain Fractional Chaotic Systems Based on the Variable Structure Control : Robust H ∞ Design Approach, Azar A.T. ,"School of Engineering and Applied Sciences, Nile University, Giza,",57208175025,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57208175025&zone=,"Azar, Ahmad Taher","Azar, Ahmad Taher ; Azar, Ahmad T. ; Azar, A. T. ; Azar, Ahmed Taher ; Taher Azar, Ahmad"
Enhanced hardware implementation of a mixed-order nonlinear chaotic system and speech encryption application,Elsafty A.H. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Experimental verification of triple lobes generation in fractional memristive circuits,Hamed E.M. ,"NISC, Nile University, Cairo, 12588,",57195129089,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57195129089&zone=,"Hamed, Esraa M.","Hamed, Esraa M."
FPGA realization of a speech encryption system based on a generalized modified chaotic transition map and bit permutation, Radwan A.G. ,"Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588,",7103379659,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7103379659&zone=,"Radwan, Ahmed","Radwan, Ahmed ; Radwan, Ahmed G. ; Radwan, Ahmed Gomaa ; Radwan, A. G. ; Radwan, A. ; Ahmed, A. G. ; Radwan, Ahmad G."
Generalized two-port network based fractional order filters, Said L.A. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Cairo,",36740094700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36740094700&zone=,"Said, Lobna A.","Said, Lobna A. ; Said, Lobna A. ; Said, L. A. ; Said, Lobna"
