Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256,Column257,Column258,Column259,Column260,Column261,Column262,Column263,Column264,Column265,Column266,Column267,Column268,Column269,Column270,Column271,Column272,Column273,Column274,Column275,Column276,Column277,Column278,Column279,Column280,Column281,Column282,Column283,Column284,Column285,Column286,Column287,Column288,Column289,Column290,Column291,Column292,Column293,Column294,Column295,Column296,Column297,Column298,Column299,Column300,Column301,Column302,Column303,Column304,Column305,Column306,Column307,Column308,Column309,Column310,Column311,Column312,Column313,Column314,Column315,Column316,Column317,Column318,Column319,Column320,Column321,Column322,Column323,Column324,Column325,Column326,Column327,Column328,Column329,Column330,Column331,Column332,Column333,Column334,Column335,Column336,Column337,Column338,Column339,Column340,Column341,Column342,Column343,Column344,Column345,Column346,Column347,Column348,Column349,Column350,Column351,Column352,Column353,Column354,Column355,Column356,Column357,Column358,Column359,Column360,Column361,Column362,Column363,Column364,Column365,Column366,Column367,Column368,Column369
Saleh I.,57195334036;,Cosmology episode of cybercrime against children in MENA: The case of Egypt,2017,International Handbook of Media Literacy Education,,,,117,126,,,10.4324/9781315628110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027257515&doi=10.4324%2f9781315628110&partnerID=40&md5=1f88fe3e529f5bce152670ee82532baf,"Nile University, Egypt","Saleh, I., Nile University, Egypt",Book Chapter,Final,,Scopus,2-s2.0-85027257515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali R.M., Deif A.M.",56278224600;15020304700;,Dynamic lean assessment for Takt time implementation,2014,Procedia CIRP,17,C,,577,581,,4,10.1016/i.procir.2014.01.128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923104046&doi=10.1016%2fi.procir.2014.01.128&partnerID=40&md5=22ad861604cbcc5f1c1284709b73dfe3,"Industrial and Service Engineering Dept, Nile University, Cairo, Egypt","Ali, R.M., Industrial and Service Engineering Dept, Nile University, Cairo, Egypt; Deif, A.M., Industrial and Service Engineering Dept, Nile University, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84923104046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fawzy F., Abdelwahab M.M., Mikhael W.",55263703200;16642214100;7006847931;,2DHOOF-2DPCA contour based optical flow algorithm for human activity recognition,2013,Midwest Symposium on Circuits and Systems,,,6674896,1310,1313,,5,10.1109/MWSCAS.2013.6674896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893202860&doi=10.1109%2fMWSCAS.2013.6674896&partnerID=40&md5=8b862f041ee8256e9e12608fd941df57,"Center of Informatics Science, Nile University, Egypt; Department of EECS, University of Central Florida, United States","Fawzy, F., Center of Informatics Science, Nile University, Egypt; Abdelwahab, M.M., Center of Informatics Science, Nile University, Egypt; Mikhael, W., Department of EECS, University of Central Florida, United States",Conference Paper,Final,,Scopus,2-s2.0-84893202860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shaarawy N., Ghoneima M., Radwan A.G.",56943519300;6506205211;7103379659;,2T2M memristor-based memory cell for higher stability RRAM modules,2015,Proceedings - IEEE International Symposium on Circuits and Systems,2015-July,,7168909,1418,1421,,6,10.1109/ISCAS.2015.7168909,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946206027&doi=10.1109%2fISCAS.2015.7168909&partnerID=40&md5=0975844e23e364bfaef7b1a0110dee34,"Microelectronics System Design Dept., Nile University, Egypt; Mechatronics Engineering Dept., Ain Shams University, Egypt; Engineering Mathematics and Physics Dept., Cairo University, Egypt","Shaarawy, N., Microelectronics System Design Dept., Nile University, Egypt; Ghoneima, M., Mechatronics Engineering Dept., Ain Shams University, Egypt; Radwan, A.G., Microelectronics System Design Dept., Nile University, Egypt, Engineering Mathematics and Physics Dept., Cairo University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84946206027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soliman A.S., Osman N.F.",55570121200;7006536332;,3D motion tracking of the heart using Harmonic Phase (HARP) isosurfaces,2010,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,7623,PART 1, 76232C,,,,1,10.1117/12.844364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79751519807&doi=10.1117%2f12.844364&partnerID=40&md5=990b886d9cb4436198da688ff62b0cb3,"Center for Informatics Science, Nile University, Egypt; Department of Radiology and Radiological Sciences, School of Medicine, John Hopkins University, 600 N. Wolfe st., Park 322, Baltimore, MD 21287-0845, United States","Soliman, A.S., Center for Informatics Science, Nile University, Egypt; Osman, N.F., Center for Informatics Science, Nile University, Egypt, Department of Radiology and Radiological Sciences, School of Medicine, John Hopkins University, 600 N. Wolfe st., Park 322, Baltimore, MD 21287-0845, United States",Conference Paper,Final,,Scopus,2-s2.0-79751519807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malek J., Azar A.T.",16203443800;57208175025;,3D surface reconstruction of retinal vascular structures,2016,"International Journal of Modelling, Identification and Control",26,4,,303,316,,2,10.1504/IJMIC.2016.081131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008199887&doi=10.1504%2fIJMIC.2016.081131&partnerID=40&md5=e4c1ed55f821939078a87c29d214a937,"Electronics and Micro-Electronic Laboratory, Faculty of Sciences, Monastir University, Monastir, Tunisia; Faculty of Computers and Information, Benha University, Egypt; Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt","Malek, J., Electronics and Micro-Electronic Laboratory, Faculty of Sciences, Monastir University, Monastir, Tunisia; Azar, A.T., Faculty of Computers and Information, Benha University, Egypt, Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt",Article,Final,,Scopus,2-s2.0-85008199887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salah K., El Rouby A., Ragai H., Ismail Y.",35617663600;27367758300;55396208600;7006103071;,3D/TSV enabling technologies for SoC/NoC: Modeling and design challenges,2010,"Proceedings of the International Conference on Microelectronics, ICM",,,5696135,268,271,,8,10.1109/ICM.2010.5696135,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951712585&doi=10.1109%2fICM.2010.5696135&partnerID=40&md5=a9a1fd721fc62cdcb53e4e4bb52ccbe8,"Mentor Graphics, Cairo, Egypt; Ain-Shams University, Cairo, Egypt; Nile University, Cairo, Egypt","Salah, K., Mentor Graphics, Cairo, Egypt; El Rouby, A., Mentor Graphics, Cairo, Egypt; Ragai, H., Ain-Shams University, Cairo, Egypt; Ismail, Y., Nile University, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-79951712585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elamien M.B., Elwakil A.S., Maundy B.J., Belostotski L.",57193702202;7003287524;7004913781;14043223800;,8-GHz low-power voltage-mode second-order allpass filter in 65-nm CMOS,2019,"2019 26th IEEE International Conference on Electronics, Circuits and Systems, ICECS 2019",,,8964668,146,149,,2,10.1109/ICECS46596.2019.8964668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079200617&doi=10.1109%2fICECS46596.2019.8964668&partnerID=40&md5=d2b2312302d0050c616a4b1ed59cf324,"University of Calgary, Department of Electrical and Computer Engineering, Canada; Department of Electrical and Computer Engineering, University of Sharjah, United Arab Emirates; Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt","Elamien, M.B., University of Calgary, Department of Electrical and Computer Engineering, Canada; Elwakil, A.S., University of Calgary, Department of Electrical and Computer Engineering, Canada, Department of Electrical and Computer Engineering, University of Sharjah, United Arab Emirates, Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt; Maundy, B.J., University of Calgary, Department of Electrical and Computer Engineering, Canada; Belostotski, L., University of Calgary, Department of Electrical and Computer Engineering, Canada",Conference Paper,Final,,Scopus,2-s2.0-85079200617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safwat S., Hussein E.E.-D., Ghoneima M., Ismail Y.",36996068800;36445005300;6506205211;7006103071;,A 12Gbps all digital low power SerDes transceiver for on-chip networking,2011,Proceedings - IEEE International Symposium on Circuits and Systems,,,5937839,1419,1422,,15,10.1109/ISCAS.2011.5937839,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960868649&doi=10.1109%2fISCAS.2011.5937839&partnerID=40&md5=676f4c89bf1437caf46a270bfcb44ea4,"Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt","Safwat, S., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt; Hussein, E.E.-D., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt; Ghoneima, M., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt; Ismail, Y., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-79960868649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hussein E.E.-D., Safwat S., Ghoneima M., Ismail Y.",36445005300;36996068800;6506205211;7006103071;,A 16Gbps low power self-timed SerDes transceiver for multi-core communication,2012,ISCAS 2012 - 2012 IEEE International Symposium on Circuits and Systems,,,6271576,1660,1663,,6,10.1109/ISCAS.2012.6271576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866613045&doi=10.1109%2fISCAS.2012.6271576&partnerID=40&md5=8bf54d236016051cf44850b455765eaf,"Nano-Electronics Integrated Systems Center (NISC), Nile University, Northwestern University, Egypt","Hussein, E.E.-D., Nano-Electronics Integrated Systems Center (NISC), Nile University, Northwestern University, Egypt; Safwat, S., Nano-Electronics Integrated Systems Center (NISC), Nile University, Northwestern University, Egypt; Ghoneima, M., Nano-Electronics Integrated Systems Center (NISC), Nile University, Northwestern University, Egypt; Ismail, Y., Nano-Electronics Integrated Systems Center (NISC), Nile University, Northwestern University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84866613045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
